id,title,author,year,publisher
1,The Great Adventure,John Smith,2015,Adventure Press
2,Learning Python,Jane Doe,2018,Tech Books
3,History of Art,Emily Clark,2020,ArtHouse
4,Modern Cooking,Michael Brown,2019,KitchenWorks
5,Space Odyssey,Anna Lee,2021,SciFi World
6,The Silent Forest,David Green,2017,Nature Books
7,Digital Dreams,Sarah White,2022,Future Press
8,Classic Tales,Robert Black,2016,Old Books Ltd
9,Healthy Living,Linda Blue,2023,Wellness House
10,Journey to Mars,Chris Red,2024,Galaxy Publishers
